"","YEAR","STATE","REGION","state_name","Population","JURTOT","PVIN","PVOTH","PVINCL","LF","LFINCL","LFCROWD","LFCRINC","FED","OTHST","FACINCL","FACROWD","gender"
"141",1980,"NY",1,"New York",17567729,21202,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"142",1980,"NC",3,"North Carolina",5956661,14897,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"143",1980,"ND",2,"North Dakota",659524,251,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"144",1980,"OH",2,"Ohio",10788324,12857,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"145",1980,"OK",3,"Oklahoma",3096157,4549,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,"M"
"146",1980,"OR",4,"Oregon",2667984,3077,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"147",1980,"PA",1,"Pennsylvania",11858571,7899,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"148",1980,"RI",1,"Rhode Island",953007,787,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"149",1980,"SC",3,"South Carolina",3179235,7535,NA,NA,NA,NA,NA,609,NA,NA,NA,NA,NA,"M"
"150",1980,"SD",2,"South Dakota",689569,617,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"151",1980,"TN",3,"Tennessee",4627667,6686,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,"M"
"152",1980,"TX",3,"Texas",14746313,28671,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"153",1980,"UT",4,"Utah",1515469,905,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"154",1980,"VT",1,"Vermont",515605,464,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"155",1980,"VA",3,"Virginia",5444106,8617,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,"M"
"156",1980,"WA",4,"Washington",4235731,4209,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,"M"
"157",1980,"WV",3,"West Virginia",1954115,1227,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"158",1980,"WI",2,"Wisconsin",4726336,3826,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"159",1980,"WY",4,"Wyoming",491715,505,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"160",1980,"ST",7,"State prison total",NA,293437,NA,NA,NA,NA,NA,6229,NA,NA,NA,NA,0,"M"
"161",1980,"US",5,"US prison total (state+federal)",NA,316401,NA,NA,NA,NA,NA,6229,NA,NA,NA,NA,0,"M"
"162",1980,"FE",6,"Federal BOP",NA,22964,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"163",1981,"AL",3,"Alabama",3925229,7339,NA,NA,NA,NA,NA,1453,NA,NA,NA,NA,NA,"M"
"164",1981,"AK",4,"Alaska",449611,977,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"165",1981,"AZ",4,"Arizona",2889865,4986,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"166",1981,"AR",3,"Arkansas",2294262,3197,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"167",1981,"CA",4,"California",24820007,27775,NA,NA,NA,NA,NA,531,NA,NA,NA,NA,NA,"M"
"168",1981,"CO",4,"Colorado",3061569,2691,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"169",1981,"CT",1,"Connecticut",3139012,5011,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"170",1981,"DE",3,"Delaware",599136,1637,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"171",1981,"DC",3,"District of Columbia",634171,3363,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"172",1981,"FL",3,"Florida",10471407,22595,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,"M"
"173",1981,"GA",3,"Georgia",5649793,11839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M"
"174",1981,"HI",4,"Hawaii",993802,1158,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"175",1981,"ID",4,"Idaho",973729,932,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"176",1981,"IL",2,"Illinois",11423414,13870,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"177",1981,"IN",2,"Indiana",5467927,7736,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"178",1981,"IA",2,"Iowa",2888190,2556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M"
"179",1981,"KS",2,"Kansas",2401211,2625,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"180",1981,"KY",3,"Kentucky",3683437,3863,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,"M"
"181",1981,"LA",3,"Louisiana",4352610,9071,NA,NA,NA,NA,NA,783,NA,NA,NA,NA,NA,"M"
"182",1981,"ME",1,"Maine",1136684,966,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,"M"
"183",1981,"MD",3,"Maryland",4282917,9031,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,"M"
"184",1981,"MA",1,"Massachusetts",5771226,3697,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"M"
"185",1981,"MI",2,"Michigan",9115202,14527,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,"M"
"186",1981,"MN",2,"Minnesota",4131444,1910,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"187",1981,"MS",3,"Mississippi",2556768,4475,NA,NA,NA,NA,NA,1109,NA,NA,NA,NA,NA,"M"
"188",1981,"MO",2,"Missouri",4929442,6224,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"189",1981,"MT",4,"Montana",803990,807,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"190",1981,"NE",2,"Nebraska",1581786,1426,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"191",1981,"NV",4,"Nevada",881545,2030,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"192",1981,"NH",1,"New Hampshire",947717,391,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"193",1981,"NJ",1,"New Jersey",7430968,6725,NA,NA,NA,NA,NA,995,NA,NA,NA,NA,NA,"M"
"194",1981,"NM",4,"New Mexico",1363794,1407,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"M"
"195",1981,"NY",1,"New York",17589746,24728,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"196",1981,"NC",3,"North Carolina",6019141,15133,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"197",1981,"ND",2,"North Dakota",668969,277,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"198",1981,"OH",2,"Ohio",10757088,14205,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"199",1981,"OK",3,"Oklahoma",3206124,5006,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,"M"
"200",1981,"OR",4,"Oregon",2664922,3192,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"201",1981,"PA",1,"Pennsylvania",11845148,9053,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"202",1981,"RI",1,"Rhode Island",954176,937,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
"203",1981,"SC",3,"South Carolina",3207618,8177,NA,NA,NA,NA,NA,547,NA,NA,NA,NA,NA,"M"
"204",1981,"SD",2,"South Dakota",690615,664,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"M"
