"","YEAR","STATEID","STATE","REGION","state_name","Population","CUSGT1M","CUSGT1F","CUSLT1M","CUSLT1F","CUSUNSM","CUSUNSF","CUSTOTM","CUSTOTF","CUSGT1T","CUSLT1T","CUSUNST","CUSTOTT","CNOPRIVM","CNOPRIVF","CWPRIVM","CWPRIVF","JURGT1M","JURGT1F","JURLT1M","JURLT1F","JURUNSM","JURUNSF","JURTOTM","JURTOTF","PVINM","PVINF","PVOTHM","PVOTHF","PVINCLM","PVINCLF","LFM","LFF","LFINCLM","LFINCLF","LFCROWDM","LFCROWDF","LFCRSTM","LFCRSTF","LFCRINCM","LFCRINCF","FEDM","FEDF","OTHSTM","OTHSTF","FACINCLM","FACINCLF","FACROWDM","FACROWDF","CUSLT18M","CUSLT18F","CUSCTZNM","CUSCTZNF"
"47",1978,51,"VA",3,"Virginia",5270240,NA,NA,NA,NA,NA,NA,NA,NA,7589,462,0,8051,NA,NA,NA,NA,7575,307,410,52,0,0,7985,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1116,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1978,53,"WA",4,"Washington",3889073,NA,NA,NA,NA,NA,NA,NA,NA,4524,0,4,4528,NA,NA,NA,NA,4251,236,0,0,0,0,4251,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1978,54,"WV",3,"West Virginia",1923395,NA,NA,NA,NA,NA,NA,NA,NA,1237,0,0,1237,NA,NA,NA,NA,1208,29,0,0,0,0,1208,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1978,55,"WI",2,"Wisconsin",4646108,NA,NA,NA,NA,NA,NA,NA,NA,3432,0,0,3432,NA,NA,NA,NA,3285,147,0,0,0,0,3285,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1978,56,"WY",4,"Wyoming",432880,NA,NA,NA,NA,NA,NA,NA,NA,432,0,0,432,NA,NA,NA,NA,414,19,0,0,0,0,414,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1978,60,"ST",7,"State prison total",NA,NA,NA,NA,NA,NA,NA,NA,NA,260176,5725,3864,269765,NA,NA,NA,NA,258007,9998,5467,542,3081,378,266555,10918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6618,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"53",1978,70,"US",5,"US prison total (state+federal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,284149,7040,4861,296050,NA,NA,NA,NA,282813,11583,7737,687,3980,476,294530,12746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6618,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"54",1978,99,"FE",6,"Federal BOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,23973,1315,997,26285,NA,NA,NA,NA,24806,1585,2270,145,899,98,27975,1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1979,1,"AL",3,"Alabama",3866248,NA,NA,NA,NA,NA,NA,NA,NA,4028,0,0,4028,NA,NA,NA,NA,5221,243,0,0,0,0,5221,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1979,2,"AK",4,"Alaska",402753,NA,NA,NA,NA,NA,NA,NA,NA,364,65,163,592,NA,NA,NA,NA,511,21,63,2,155,8,729,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1979,4,"AZ",4,"Arizona",2635571,NA,NA,NA,NA,NA,NA,NA,NA,3315,13,25,3353,NA,NA,NA,NA,3561,176,12,0,0,0,3573,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1979,5,"AR",3,"Arkansas",2271333,NA,NA,NA,NA,NA,NA,NA,NA,2783,62,0,2845,NA,NA,NA,NA,2868,112,59,3,0,0,2927,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1979,6,"CA",4,"California",23256880,NA,NA,NA,NA,NA,NA,NA,NA,21260,0,1372,22632,NA,NA,NA,NA,20233,1027,0,0,1167,205,21400,1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
