"","YEAR","STATEID","STATE","REGION","state_name","Population","RLUNEXPM","RLUNEXPF","RLUNCOMM","RLUNCOMF","RLUNOTHM","RLUNOTHF","RLCOPROM","RLCOPROF","RLCOSUPM","RLCOSUPF","RLCODPM","RLCODPF","RLCOOTHM","RLCOOTHF","RLDEATHM","RLDEATHF","RLAWOLM","RLAWOLF","RLESCAPM","RLESCAPF","RLAWESM","RLAWESF","RLTRANM","RLTRANF","RLBONDM","RLBONDF","RLOTHM","RLOTHF","RLTOTM","RLTOTF"
"91",1979,40,"OK",3,"Oklahoma",2975310,1302,78,0,0,0,0,0,0,0,0,1173,56,0,0,NA,NA,NA,NA,NA,NA,89,40,0,0,0,0,42,0,2610,176
"92",1979,41,"OR",4,"Oregon",2588012,228,5,0,0,0,0,0,0,0,0,1578,110,0,0,NA,NA,NA,NA,NA,NA,186,7,9,0,10,1,11,0,2029,123
"93",1979,42,"PA",1,"Pennsylvania",11887975,161,10,0,0,167,4,0,0,0,0,2725,114,0,0,NA,NA,NA,NA,NA,NA,75,13,87,4,35,1,27,2,3297,148
"94",1979,44,"RI",1,"Rhode Island",950382,43,1,1,0,0,0,42,0,0,0,118,6,0,0,NA,NA,NA,NA,NA,NA,17,0,2,0,7,0,0,0,232,7
"95",1979,45,"SC",3,"South Carolina",3090267,852,40,0,0,13,0,275,10,0,0,2134,103,0,0,NA,NA,NA,NA,NA,NA,290,6,0,0,33,0,0,5,3616,164
"96",1979,46,"SD",2,"South Dakota",688335,113,3,1,0,3,0,26,4,0,0,125,12,0,0,NA,NA,NA,NA,NA,NA,17,0,0,0,4,0,0,0,290,19
"97",1979,47,"TN",3,"Tennessee",4560473,231,25,23,1,21,1,0,0,278,3,1686,128,9,0,NA,NA,NA,NA,NA,NA,330,13,9,11,2,3,0,0,2604,186
"98",1979,48,"TX",3,"Texas",13888371,2583,110,0,0,3,0,34,1,1044,73,6032,433,52,1,NA,NA,NA,NA,NA,NA,4,3,22,1,0,0,902,75,10739,697
"99",1979,49,"UT",4,"Utah",1420238,9,0,0,0,18,0,0,0,0,0,305,17,0,0,NA,NA,NA,NA,NA,NA,74,9,3,0,7,0,0,0,417,26
"100",1979,50,"VT",1,"Vermont",505372,0,0,0,0,8,0,78,2,33,0,121,5,0,0,NA,NA,NA,NA,NA,NA,40,1,3,0,10,0,0,0,294,8
"101",1979,51,"VA",3,"Virginia",5307945,521,26,13,2,2,0,0,0,592,26,1920,116,1,0,NA,NA,NA,NA,NA,NA,79,1,169,12,2,0,0,15,3308,198
"102",1979,53,"WA",4,"Washington",4017632,3,1,2,0,0,0,0,0,0,0,1761,135,6,0,NA,NA,NA,NA,NA,NA,318,26,0,0,0,0,0,0,2100,162
"103",1979,54,"WV",3,"West Virginia",1942146,64,1,0,0,24,0,86,0,0,0,327,10,5,0,NA,NA,NA,NA,NA,NA,26,1,0,0,0,4,15,0,553,16
"104",1979,55,"WI",2,"Wisconsin",4682811,38,2,0,0,37,7,0,0,643,44,678,41,0,0,NA,NA,NA,NA,NA,NA,93,4,0,0,0,0,0,0,1493,98
"105",1979,56,"WY",4,"Wyoming",454378,62,0,0,1,0,0,14,0,0,0,126,4,0,0,NA,NA,NA,NA,NA,NA,5,0,0,0,4,1,0,0,214,6
"106",1979,60,"ST",7,"State prison total",NA,20014,987,478,21,683,78,3811,429,20680,1068,73351,4254,2908,192,NA,NA,0,0,0,0,7055,543,2367,283,1647,157,4549,452,138145,8477
"107",1979,70,"US",5,"US prison total (state+federal)",NA,24035,1261,482,26,855,95,3811,429,24306,1202,79736,4551,2908,192,NA,NA,0,0,0,0,7689,552,2629,304,1742,162,7565,919,156425,9707
"108",1979,99,"FE",6,"Federal BOP",NA,4021,274,4,5,172,17,0,0,3626,134,6385,297,0,0,NA,NA,NA,NA,NA,NA,634,9,262,21,95,5,3016,467,18280,1230
"109",1980,1,"AL",3,"Alabama",3918531,522,24,0,0,2,0,59,8,0,0,2114,139,0,0,NA,NA,NA,NA,NA,NA,232,4,9,0,5,0,306,12,3264,188
"110",1980,2,"AK",4,"Alaska",418488,0,0,0,0,0,0,0,0,192,17,56,2,0,0,NA,NA,NA,NA,NA,NA,8,0,82,4,0,0,0,0,339,23
"111",1980,4,"AZ",4,"Arizona",2810127,41,5,2,0,0,0,59,12,191,41,415,24,633,26,NA,NA,NA,NA,NA,NA,139,18,21,6,0,0,12,0,1521,132
"112",1980,5,"AR",3,"Arkansas",2293195,228,8,0,0,20,0,0,0,0,0,1666,112,85,5,NA,NA,NA,NA,NA,NA,18,0,0,0,0,0,230,0,2259,125
"113",1980,6,"CA",4,"California",24285937,225,22,0,0,81,12,0,0,11080,679,0,0,0,0,NA,NA,NA,NA,NA,NA,135,2,0,0,0,0,188,12,11755,728
"114",1980,8,"CO",4,"Colorado",2977895,186,5,0,0,24,2,108,9,0,0,842,38,0,0,NA,NA,NA,NA,NA,NA,148,6,42,12,11,1,0,0,1369,73
"115",1980,9,"CT",1,"Connecticut",3128839,1353,111,26,1,0,0,0,0,0,0,1432,112,0,0,NA,NA,NA,NA,NA,NA,72,17,56,2,0,0,0,0,2939,243
"116",1980,10,"DE",3,"Delaware",595971,58,0,0,0,31,6,0,0,115,6,176,14,0,0,NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,18,0,404,26
"117",1980,11,"DC",3,"District of Columbia",636894,596,16,0,0,0,0,0,0,131,4,712,31,0,0,NA,NA,NA,NA,NA,NA,212,13,395,84,0,0,0,0,2059,148
"118",1980,12,"FL",3,"Florida",10192778,1520,91,3,0,283,22,344,43,924,32,4472,226,229,6,NA,NA,NA,NA,NA,NA,673,16,0,0,460,29,0,0,8965,466
"119",1980,13,"GA",3,"Georgia",5568343,1683,87,56,7,65,3,39,4,0,0,2066,152,1806,93,NA,NA,NA,NA,NA,NA,318,51,78,3,56,2,0,0,6201,404
"120",1980,15,"HI",4,"Hawaii",978174,16,0,0,0,0,0,44,6,0,0,58,9,2,1,NA,NA,NA,NA,NA,NA,22,0,0,0,0,0,0,0,146,16
"121",1980,16,"ID",4,"Idaho",962203,74,5,0,1,2,0,266,23,0,0,211,8,0,0,NA,NA,NA,NA,NA,NA,11,0,0,0,4,0,14,3,585,40
"122",1980,17,"IL",2,"Illinois",11443461,1232,70,55,0,40,2,0,0,4792,205,979,20,6,0,NA,NA,NA,NA,NA,NA,18,0,0,0,34,7,1073,106,8293,412
"123",1980,18,"IN",2,"Indiana",5480425,216,12,0,0,0,0,376,68,0,0,1889,73,0,0,NA,NA,NA,NA,NA,NA,73,1,0,0,0,0,0,0,2560,155
"124",1980,19,"IA",2,"Iowa",2907975,246,11,0,0,10,0,184,25,0,0,334,38,0,0,NA,NA,NA,NA,NA,NA,133,16,0,0,42,0,1,0,953,90
"125",1980,20,"KS",2,"Kansas",2384859,1,0,1,0,0,0,338,28,44,3,939,45,0,0,NA,NA,NA,NA,NA,NA,58,0,0,0,6,1,0,0,1393,77
"126",1980,21,"KY",3,"Kentucky",3670385,36,1,0,0,0,0,311,35,344,10,2063,109,0,0,NA,NA,NA,NA,NA,NA,112,2,0,1,52,3,0,0,2924,161
"127",1980,22,"LA",3,"Louisiana",4283298,1369,55,7,0,14,0,0,0,0,0,346,34,0,0,NA,NA,NA,NA,NA,NA,63,1,0,0,0,0,0,0,1805,90
"128",1980,23,"ME",1,"Maine",1133021,268,1,0,0,0,0,83,0,0,0,110,0,0,0,NA,NA,NA,NA,NA,NA,30,0,4,0,14,0,3,3,514,4
"129",1980,24,"MD",3,"Maryland",4261908,186,4,245,27,0,0,0,0,532,31,2641,126,0,0,NA,NA,NA,NA,NA,NA,590,18,413,7,518,75,0,0,5148,288
