"","YEAR","STATEID","STATE","REGION","state_name","Population","WHITEM","WHITEF","BLACKM","BLACKF","HISPM","HISPF","AIANM","AIANF","ASIANM","ASIANF","NHPIM","NHPIF","APIM","APIF","TWORACEM","TWORACEF","ADDRACEM","ADDRACEF","UNKRACEM","UNKRACEF","TOTRACEM","TOTRACEF","NOTHISPM","NOTHISPF","UNKHISPM","UNKHISPF","TOTHCATM","TOTHCATF"
"80",1979,29,"MO",2,"Missouri",4912430,2622,99,2730,104,9,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5352,203,5343,203,0,0,NA,NA
"81",1979,30,"MT",4,"Montana",787305,605,25,11,1,16,0,123,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,739,29,723,29,0,0,NA,NA
"82",1979,31,"NE",2,"Nebraska",1567344,763,41,370,20,42,2,44,2,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1178,63,1136,61,0,0,NA,NA
"83",1979,32,"NV",4,"Nevada",765367,1029,52,412,35,59,1,28,1,NA,NA,NA,NA,5,3,NA,NA,NA,NA,1,0,1475,91,1416,90,0,1,NA,NA
"84",1979,33,"NH",1,"New Hampshire",909074,304,5,6,0,2,0,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,311,5,309,5,0,0,NA,NA
"85",1979,34,"NJ",1,"New Jersey",7366512,2141,69,3523,119,439,15,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,5664,188,5225,173,0,0,NA,NA
"86",1979,35,"NM",4,"New Mexico",1284722,1297,49,165,5,828,30,27,4,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1489,58,661,28,0,0,NA,NA
"87",1979,36,"NY",1,"New York",17583838,9556,250,10871,350,4007,108,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,124,7,20551,607,16544,499,0,0,NA,NA
"88",1979,37,"NC",3,"North Carolina",5823491,5989,218,7352,330,0,0,304,14,NA,NA,NA,NA,2,0,NA,NA,NA,NA,43,1,13690,563,13647,562,43,1,NA,NA
"89",1979,38,"ND",2,"North Dakota",652896,148,1,2,0,5,0,29,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,5,0,184,2,179,2,0,0,NA,NA
"90",1979,39,"OH",2,"Ohio",10798298,6387,205,6375,393,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,12762,598,NA,NA,12762,598,NA,NA
"91",1979,40,"OK",3,"Oklahoma",2975310,2647,110,1140,53,NA,NA,244,12,NA,NA,NA,NA,0,0,NA,NA,NA,NA,42,2,4073,177,NA,NA,4073,177,NA,NA
"92",1979,41,"OR",4,"Oregon",2588012,2468,77,337,34,90,2,137,5,NA,NA,NA,NA,4,0,NA,NA,NA,NA,117,3,3063,119,2973,117,0,0,NA,NA
