"","YEAR","STATEID","STATE","REGION","state_name","Population","ADCRNEWM","ADCRNEWF","ADCRNOM","ADCRNOF","ADTRANSM","ADTRANSF","ADAWOLM","ADAWOLF","ADESCAPM","ADESCAPF","ADAWESM","ADAWESF","ADRETM","ADRETF","ADOTHM","ADOTHF","ADTOTM","ADTOTF"
"152",1980,48,"TX",3,"Texas",14746313,513,23,0,0,5,1,NA,NA,NA,NA,7,1,0,0,81,0,14454,909
"153",1980,49,"UT",4,"Utah",1515469,0,0,0,0,0,0,NA,NA,NA,NA,87,4,3,0,0,0,547,22
"154",1980,50,"VT",1,"Vermont",515605,7,0,2,0,2,0,NA,NA,NA,NA,56,0,0,0,0,0,409,3
"155",1980,51,"VA",3,"Virginia",5444106,0,0,2,0,104,6,NA,NA,NA,NA,103,0,0,0,0,0,3536,198
"156",1980,53,"WA",4,"Washington",4235731,0,0,0,0,0,0,NA,NA,NA,NA,362,21,9,0,0,0,2315,138
"157",1980,54,"WV",3,"West Virginia",1954115,1,0,6,0,2,0,NA,NA,NA,NA,17,1,1,2,0,0,594,22
"158",1980,55,"WI",2,"Wisconsin",4726336,108,0,132,3,0,0,NA,NA,NA,NA,0,0,0,0,34,2,1861,87
"159",1980,56,"WY",4,"Wyoming",491715,0,0,0,0,0,0,NA,NA,NA,NA,11,0,4,0,0,0,239,19
"160",1980,60,"ST",7,"State prison total",NA,2303,89,2172,79,2187,143,0,0,0,0,6794,465,218,12,640,24,159807,9068
"161",1980,70,"US",5,"US prison total (state+federal)",NA,2303,89,2396,85,2539,194,0,0,0,0,7477,523,266,15,640,24,172747,9870
"162",1980,99,"FE",6,"Federal BOP",NA,0,0,224,6,352,51,NA,NA,NA,NA,683,58,48,3,0,0,12940,802
"163",1981,1,"AL",3,"Alabama",3925229,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4,0,12,1,3773,252
"164",1981,2,"AK",4,"Alaska",449611,0,0,0,0,28,3,NA,NA,NA,NA,10,0,0,0,26,2,468,34
"165",1981,4,"AZ",4,"Arizona",2889865,107,5,192,11,17,2,NA,NA,NA,NA,127,14,0,0,0,0,2738,181
"166",1981,5,"AR",3,"Arkansas",2294262,0,0,0,0,15,0,NA,NA,NA,NA,18,0,0,0,216,0,2338,114
"167",1981,6,"CA",4,"California",24820007,0,0,0,0,0,0,NA,NA,NA,NA,197,10,0,0,0,0,17032,992
"168",1981,8,"CO",4,"Colorado",3061569,5,0,15,1,6,0,NA,NA,NA,NA,185,1,6,0,0,0,1780,80
